crack_length (mm);u (mm);crack_length (mm);G_c or R (J/m^2);crack_length (mm);G_c or R (J/m^2)
0.128203732532099;0.092021467684168;0.102207544;0.110734636;0.0970873786407757;7.34764705882351
0.670919561501861;0.235175649636943;0.105810407;3.817972915;0.194174757281551;14.595294117647
1.87043911502048;0.398327872064794;0.109602895;7.720328998;0.388349514563106;22.0388235294117
3.07141016848285;0.52174528353237;0.113585007;11.81780289;0.582524271844661;29.4823529411764
4.71044390497029;0.653196747188625;0.31174249;15.91590822;1.06796116504854;36.7299999999999
6.78870152443781;0.760894414265341;0.316103851;20.40361772;1.94174757281552;43.9776470588235
9.52463376842043;0.864749235240967;0.418501019;25.86723196;3.39805825242718;50.6376470588235
12.1521389666046;0.936794434949215;0.812919741;32.11226459;5.63106796116504;56.3182352941176
14.6702010690297;1.00484438106227;1.012025346;37.18595895;8.54368932038835;61.0194117647058
17.189134071421;1.04905344059917;1.502394008;42.26060048;11.6504854368932;64.3494117647058
20.0368318110727;1.09332781763354;2.283267228;46.55571797;15.1456310679611;67.2876470588235
23.432180479503;1.14565801935575;4.133621984;52.41525086;18.4466019417475;69.6382352941176
26.3894664649081;1.18995416888927;5.496262819;55.93179148;21.9417475728155;71.5970588235294
28.3608936885153;1.22213392264231;7.246306275;58.47400597;25.631067961165;73.1641176470588
30.7702384451532;1.26632120968005;8.802553608;61.40582463;29.2233009708737;74.7311764705882
33.7267986805865;1.33048476469371;11.13512318;63.94993347;32.8155339805825;75.9064705882352
36.0259745914934;1.39054420361641;13.46750312;66.29892451;36.504854368932;77.0817647058823
38.9813736269717;1.48649560739829;15.31330689;67.47563011;40.0970873786407;78.0611764705882
40.9507687506577;1.57430409649571;18.03327908;69.04541283;43.5922330097087;79.0405882352941
42.810140178607;1.67401125638206;20.26762322;70.41849912;47.378640776699;80.0199999999999
44.3411823192791;1.76173265548285;22.69633235;71.98733467;51.0679611650485;80.9994117647058
45.5430242727078;1.86130918037426;25.0271953;72.77538328;54.5631067961165;81.5870588235293
47.0727600634305;1.98479190933931;27.64989018;74.14973247;58.4466019417475;82.3705882352941
48.4927624584054;2.11222634690122;29.68911082;74.5465983;61.9417475728155;82.9582352941176
48.9277769915486;2.20370350210648;32.60306875;75.92189466;64.8543689320388;83.3499999999999
50.019740399235;2.31120521669079;35.71082281;76.90758687;;
50.3451666866247;2.4026605993969;38.91547493;77.698477;;
50.8897694655214;2.49415952710131;41.53779056;78.68259059;;
51.3246388486702;2.5896101634026;43.77118657;79.08008786;;
51.7593630818246;2.68903428079992;46.10167027;79.47790086;;
52.0856602691806;2.75664877692985;49.30632239;80.26879099;;
52.4110865565703;2.84810415963596;51.53971841;80.66628826;;
52.8465365396967;2.92766087155314;54.06475673;81.45496832;;
53.0629551813104;3.00320055737597;56.68688273;82.2439641;;
;;59.50261524;82.44823792;;
;;61.25019357;82.45392096;;
;;62.80416542;83.04432596;;
;;63.96959689;83.43835027;;
;;65.4261018;83.63820394;;
